"","Review_id","main_group","group_metric","Legend_1","mean_per_change1","sem_per_change1","num_papers1","num_comparisons1","Legend_2","mean_per_change2","sem_per_change2","num_papers2","num_comparisons2","Legend_3","mean_per_change3","sem_per_change3","num_papers3","num_comparisons3","Group_RV","Review","num_comparison3s"
"1","Seed Protection","Biological","Root Mycorrhizal Colonization (Arbuscular)","Seed",30.5555555555555,TRUE,1,9,"Fungicide",30.5555555555555,TRUE,1,9,NA,30.5555555555555,TRUE,1,9,"Soil","Early Season Pest Management",NA
"2","Seed Protection","Invertebrates","Bean Leaf Beetles (#)","Foliage",-24.1176470588235,TRUE,1,17,"Insecticide",-24.1176470588235,TRUE,1,17,NA,-24.1176470588235,TRUE,1,17,"Pest Regulation","Early Season Pest Management",NA
"3","Seed Protection","Invertebrates","Bean Leaf Beetles (#)","Seed",-22.0833333333333,TRUE,1,8,"Insecticide",-22.0833333333333,TRUE,1,8,NA,-22.0833333333333,TRUE,1,8,"Pest Regulation","Early Season Pest Management",NA
"4","Seed Protection","Invertebrates","Bean Leaf Beetles (#)","Seed & Foliage",-33.3333333333333,TRUE,1,7,"Insecticide",-33.3333333333333,TRUE,1,7,NA,-33.3333333333333,TRUE,1,7,"Pest Regulation","Early Season Pest Management",NA
"5","Seed Protection","Invertebrates","Natural Enemies (#)","other",-3.33333333333333,TRUE,1,210,"other",-3.33333333333333,TRUE,1,210,NA,-3.33333333333333,TRUE,1,210,"Pest Regulation","Early Season Pest Management",NA
"6","Seed Protection","Invertebrates","Natural Enemies (#)","Seed",10.2805621632466,TRUE,1,8,"Insecticide",10.2805621632466,TRUE,1,8,NA,10.2805621632466,TRUE,1,8,"Pest Regulation","Early Season Pest Management",NA
"7","Seed Protection","Invertebrates","Northern Corn Rootworm (#)","Soil",39.0367504437963,TRUE,1,24,"Insecticide",39.0367504437963,TRUE,1,24,"Broadcast",39.0367504437963,TRUE,1,24,"Pest Regulation","Early Season Pest Management",NA
"8","Seed Protection","Invertebrates","Seed Corn Maggot (#)","Seed",-26.3157894736842,TRUE,1,8,"Insecticide",-26.3157894736842,TRUE,1,8,NA,-26.3157894736842,TRUE,1,8,"Pest Regulation","Early Season Pest Management",NA
"9","Seed Protection","Invertebrates","Seed Corn Maggot (#)","Soil",-61.8421052631579,TRUE,1,8,"Insecticide",-61.8421052631579,TRUE,1,8,"In-Row",-61.8421052631579,TRUE,1,8,"Pest Regulation","Early Season Pest Management",NA
"10","Seed Protection","Invertebrates","Soybean Aphids (# per Leaf)","other",-43.702336491743,TRUE,1,42,"other",-43.702336491743,TRUE,1,42,NA,-43.702336491743,TRUE,1,42,"Pest Regulation","Early Season Pest Management",NA
