review,uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,title_lower
cc,WOS:000535977000047,Towards sustainable maize production in the US upper Midwest with interseeded cover crops,PLOS ONE,4,15,,APR 9,2020,"Rusch, Hannah L. | Coulter, Jeffrey A. | Grossman, Julie M. | Johnson, Gregg A. | Porter, Paul M. | Garcia, Axel Garcia y",,10.1371/journal.pone.0231032,NA,LR8WI,1932-6203,NA,towards sustainable maize production in the us upper midwest with interseeded cover crops
cc,WOS:000543786100012,Interseeding cover crops in corn,AGRONOMY JOURNAL,1,112,139-147,JAN-FEB,2020,"Brooker, Aaron P. | Renner, Karen A. | Sprague, Christy L.",,10.1002/agj2.20046,NA,MD2EJ,0002-1962,NA,interseeding cover crops in corn
cc,WOS:000543787300033,Short-run net returns to a cereal rye cover crop mix in a midwest corn-soybean rotation,AGRONOMY JOURNAL,2,112,1068-1083,MAR-APR,2020,"Thompson, Nathanael M. | Armstrong, Shalamar D. | Roth, Richard T. | Ruffatti, Michael D. | Reeling, Carson J.",,10.1002/agj2.20132,NA,MD2EV,0002-1962,NA,short-run net returns to a cereal rye cover crop mix in a midwest corn-soybean rotation
cc,WOS:000543391800066,Reduction of Nitrogen Fertilizer Requirements and Nitrous Oxide Emissions Using Legume Cover Crops in a No-Tillage Sorghum Production System,SUSTAINABILITY,11,12,,JUN,2020,"Mahama, G. Y. | Prasad, P. V. V. | Roozeboom, K. L. | Nippert, J. B. | Rice, C. W.",crop rotation | cover crops | greenhouse gas emissions | legumes | nitrogen management | nitrous oxide | cropping system | sorghum,10.3390/su12114403,NA,MC6JX,NA,NA,reduction of nitrogen fertilizer requirements and nitrous oxide emissions using legume cover crops in a no-tillage sorghum production system
cc,WOS:000541730800025,"Evaluation of diverse cover crops as hosts of two populations of soybean cyst nematode, Heterodera glycines",CROP PROTECTION,NA,135,,SEP,2020,"Acharya, Krishna | Yan, Guiping | Berti, Marisol T.",Heteroderea glycines | Reproduction | Female index | Cover crops | Hosting ability,10.1016/j.cropro.2020.105205,NA,MA2FA,0261-2194,NA,"evaluation of diverse cover crops as hosts of two populations of soybean cyst nematode, heterodera glycines"
cc,WOS:000546724900014,Cover Crop Performance between Plastic-mulched Beds: Impacts on Weeds and Soil Resources,HORTSCIENCE,7,55,1069-1077,JUL,2020,"Tarrant, Alyssa R. | Brainard, Daniel C. | Hayden, Zachary D.",living mulch | organic management | plasticulture | soil management,10.21273/HORTSCI14956-20,NA,MH4UA,0018-5345,NA,cover crop performance between plastic-mulched beds: impacts on weeds and soil resources
cc,WOS:000543787300013,Long-term perennial management and cropping effects on soil microbial biomass for claypan watersheds,AGRONOMY JOURNAL,2,112,815-827,MAR-APR,2020,"Alagele, Salah M. | Anderson, Stephen H. | Udawatta, Ranjith P. | Veum, Kristen S. | Rankoth, Lalith M.",,10.1002/agj2.20116,NA,MD2EV,0002-1962,NA,long-term perennial management and cropping effects on soil microbial biomass for claypan watersheds
tillage,WOS:000543788500064,Soil and crop response to phosphorus and potassium management under conservation tillage,AGRONOMY JOURNAL,3,112,2302-2316,MAY-JUN,2020,"Yuan, Mingwei | Fernandez, Fabian G. | Pittelkow, Cameron M. | Greer, Kristin D. | Schaefer, Daniel",,10.1002/agj2.20114,NA,MD2FH,0002-1962,NA,soil and crop response to phosphorus and potassium management under conservation tillage
tillage,WOS:000543786100006,"Strip-till, other management strategies, and their interactive effects on corn grain and soybean seed yield",AGRONOMY JOURNAL,1,112,72-80,JAN-FEB,2020,"Potratz, Derek J. | Mourtzinis, Spyridon | Gaska, John | Lauer, Joseph | Arriaga, Francisco J. | Conley, Shawn P.",,10.1002/agj2.20067,NA,MD2EJ,0002-1962,NA,"strip-till, other management strategies, and their interactive effects on corn grain and soybean seed yield"
tillage,WOS:000543786100001,"Cropping pattern changes diminish agroecosystem services in North and South Dakota, USA",AGRONOMY JOURNAL,1,112,1-24,JAN-FEB,2020,"O'Brien, Peter L. | Hatfield, Jerry L. | Dold, Christian | Kistner-Thomas, Erica J. | Wacha, Kenneth M.",,10.1002/agj2.20001,NA,MD2EJ,0002-1962,NA,"cropping pattern changes diminish agroecosystem services in north and south dakota, usa"
