"paper_id","doi","authors","authors_abbrev","pubyear","journal","volume_issue","title","pages"
270,"10.1016/j.still.2008.11.008","Ussiri, D.A.N. & Lal, R.","Ussiri & Lal",2009,"Soil & Tillage Research","104","Long-term tillage effects on soil carbon storage and carbon dioxide emissions in continuous corn cropping system from an alfisol in Ohio","39-47"
271,"10.1016/j.still.2009.03.006","Chatterjee, A. & Lal, R.","Chatterjee & Lal",2009,"Soil & Tillage Research","104","On farm assessment of tillage impact on soil carbon and associated soil quality parameters","270-277"
272,"10.1016/j.still.2009.03.001","Ussiri, D.A.N., Lal, R., & Jarecki, M.K.","Ussiri et al.",2009,"Soil & Tillage Research","104","Nitrous oxide and methane emissions from long-term tillage under a continuous corn cropping system in Ohio","247-255"
273,"10.1016/j.geoderma.2008.11.036","Blanco-Canqui, H. & Lal, R.","Blanco-Canqui & Lal",2009,"Geoderma","149","Extent of soil water repellency under long-term no-till soils","171-180"
274,"10.1016/j.still.2008.11.004","Abid, M. & Lal, R.","Abid & Lal",2009,"Soil & Tillage Research","103","Tillage and drainage impact on soil quality II. Tensile strength of aggregates, moisture retention and water infiltration","364-372"
275,"10.1016/j.still.2010.02.005","Mishra, U., Ussiri, D.A.N., & Lal, Rattan","Mishra et al.",2010,"Soil & Tillage Research","107","Tillage effects on soil organic storage and dynamics in Corn Belt of Ohio USA","88-96"
276,"10.2136/sssaj2009.0362","Varvel, G.E. & Wilhelm, W.W.","Varvel & Wilhelm",2010,"Soil Science Society of America Journal","74(3)","Long-term soil organic carbon as affected by tillage and cropping systems","915-921"
277,"10.5433/1679-0359.2011v32n3p983","Holanda, F.S.R., Pedrotti, A., Mengel, D.B., de Carvalho, J.G., da Silva, T.O., & Mello, Jr., A.V.","Holanda et al.",2011,"Semina: Ci<ea>ncias Agr<e1>rias","32(3)","Contribution of tillage systems on the organic matter of Gley soil and the productivity of corn and soybean","983-993"
278,"10.2136/sssaj2009.0147","Omonode, R.A., Smith, D.R., Gal, A., & Vyn, T.J.","Omonode et al.",2011,"Soil Science Society of America Journal","75(1)","Soil nitrous oxide emissions in corn following three decades of tillage and rotation treatments","152-163"
279,"10.1017/S0014479710000979","Fathelrahman, E.M., Ascough II, J.C., Hoag, D.L., Malone, R.W., & Heilman, P.","Fathelrahman et al.",2011,"Experimental Agriculture","47","Economic and stochastic efficiency comparison of experimental systems in corn and soybean under risk","111-136"
280,"10.1016/j.still.2010.11.003","Houx III, J.H., Weibold, W.J., & Fritschi, F.B.","Houx et al.",2011,"Soil & Tillage Research","112","Long-term tillage and crop rotation determines the mineral nutrient distributions of some elements in a Vertic Epiaqualf","27-35"
281,"10.1016/j.still.2011.03.005","Varvel, G.E. & Wilhelm, W.W.","Varvel & Wilhelm",2011,"Soil & Tillage Research","114","No-tillage increases soil profile carbon and nitrogen under long-term rainfed cropping systems","28-36"
282,"10.2134/jeq2011.0039","Venterea, R.T., Maharjan, B., & Dolan, M.S.","Venterea et al.",2011,"Journal of Environmental Quality","40","Fertilizer source and tillage effects on yield-scaled nitrous oxide emissions in a corn cropping system","1521-1531"
283,"10.1039/c1em10120j","Nila Rekha, P., Kanwar, R.S., Nayak, A.K., Hoang, C.K., & Pederson, C.H.","Nila Rekha et al.",2011,"Journal of Environmental Monitoring","13","Nitrate leaching to shallow groundwater systems from agricultural fields with different management practices","2550-2558"
284,"10.2136/sssaj2010.0334","Sundermeier, A.P., Islam, K.R., Raut, Y., Reeder, R.C., & Dick, W.A.","Sundermeier et al.",2011,"Soil Science Society of America Journal","75(5)","Continuous no-till impacts on soil biophysical carbon sequestration","1779-1788"
285,"10.2134/agronj2011.0043","Conley, S.P., Gaska, J.M., Pederson, P., & Esker, P.","Conley et al.",2011,"Agronomy Journal","103","Soybean yield and Heterodera glycines response to rotation, tillage, and genetic resistance","1604-1609"
286,"10.2136/sssaj2012.0098","Kumar, S., Kadono, A., Lal, R., & Dick, W.","Kumar et al.",2012,"Soil Science Society of America Journal","76","Long-term tillage and crop rotations for 47<U+0096>49 years influences hydrological properties of two soils in Ohio","2195-2207"
287,"10.1016/j.still.2013.01.004","Al-Kaisi, M.M. & Guzman, J.G.","Al-Kaisi & Guzman",2013,"Soil & Tillage Research","129","Effects of tillage and nitrogen rate on decomposition of transgenic Bt and near-isogenic non-Bt maize residue","32-39"
288,"10.1016/j.agee.2013.03.014","Datta, A., Smith, P., & Lal, R.","Datta et al.",2013,"Agriculture, Ecosystems and Environment","171","Effects of long-term tillage and drainage treatments on greenhouse gas fluxes from a corn field during the fallow period","112-123"
289,"10.1016/j.agee.2013.02.003","Karlen, D.L., Kovar, J.L., Cambardella, C.A., & Colvin, T.S.","Karlen et al.",2013,"Soil & Tillage Research","130","Thirty-year tillage effects on crop yield and soil fertility indicators","24-41"
290,"10.1016/j.still.2013.05.013","Karlen, D.L., Cambardella, C.A., Kovar, J.L., & Colvin, T.S.","Karlen et al.",2013,"Soil & Tillage Research","13","Soil quality response to long-term tillage and crop rotation practices","54-64"
291,"10.2134/agronj2013.0181","Sindelar, A.J., Coulter, J.A., Lamb, J.A., & Vetsch, J.A.","Sindelar et al.",2013,"Agronomy Journal","105","Agronomic responses of continuous corn to stover, tillage, and nitrogen management","1498-1506"
292,"10.1080/0038768.2013.878643","Kumar, S., Nakajima, T., Mbonimpa, E.G., Gautam, S., Somireddy, U.R., Kadono, A., Lal, R., Chintala, R., Rafique, R., & Fausey, N.","Kumar et al.",2014,"Soil Science and Plant Nutrition","60","Long-term tillage and drainage influences on soil organic carbon dynamics, aggregate stability and corn yield","108-118"
293,"10.1007/s00374-013-0866-7","Jacinthe, P.A., Dick, W.A., Lal, R., Shrestha, R.K., & Bilen, S.","Jacinthe et al.",2014,"Biology and Fertility of Soils","50","Effects of no-till duration on the methane oxidation capacity of Alfisols","477-486"
294,"10.2134/jeq2013.10.0431","Blanco-Canqui, H., Ferguson, R.B., Shapiro, C.A., Drijber, R.A., & Walters, D.T.","Blanco-Canqui et al.",2014,"Journal of Environmental Quality","43","Does inorganic nitrogen fertilization improve soil aggregation? Insights from two long-term tillage experiments","995-1003"
295,"10.2489/jswc.69.9.574","Al-Kaisi, M.M., Douelle, A., & Dwaw-Mensah, D.","Al-Kaisi et al.",2014,"Journal of Soil and Water Conservation","69(6)","Soil microaggregate and macroaggregate decay over time and soil carbon change as influenced by different tillage systems","574-580"
296,"10.2489/jswc.69.9.574","Kumar, S., Nakajima, T., Kadona, A., Lal, R., & Fausey, N.","Kumar et al.",2014,"Journal of Soil and Water Conservation","69(6)","Long-term tillage and drainage influences on greenhouse gas fluxes from a poorly drained soil of central Ohio","553-563"
297,"10.2489/jswc.69.9.543","Campbell, B., Chen, L., Dygert, C., & Dick, W.","Campbell et al.",2014,"Journal of Soil and Water Conservation","69(6)","Tillage and crop rotation impacts on greenhouse gas fluxes from soil at two long-term agronomic experimental sites in Ohio","543-552"
298,"10.1111/ejss.12205","Beniston, J.W., Shipitalo, M.J., Lal, R., Dayton, E.A., Hopkins, D.W., Jones, F., Joynes, A., Dungait, J.A.J.","Beniston et al.",2015,"European Journal of Soil Science","66","Carbon and macronutrient losses during accelerated erosion under different tillage and residue management","218-225"
299,"10.2136/sssaj2014.08.0337","Sindelar, A.J., Lamb, J.A., & Coulter, J.A.","Sindelar et al.",2015,"Soil Science Society of America Journal","79","Short-term stover, tillage, and nitrogen management affect near-surface soil organic matter","251-260"
300,"10.2136/sssaj2014.07.0273","Kane, D.A., Snapp, S.S., & Davis, A.S.","Kane et al.",2015,"Soil Science Society of America Journal","79","Ridge tillage concentrates potentially mineralizable soil nitrogen, facilitating maize nitrogen uptake","81-88"
301,"Unavailable","Aziz, I., Bangash, N., Mahmood, T., & Islam, K.R.","Aziz et al.",2015,"Pakistan Journal of Botany","47(1)","Impact of no-till and conventional tillage practices on soil chemical properties","297-303"
302,"10.1016/j.apsoil.2015.01.007","Tenesaca, C.G. & Al-Kaisi, M.M.","Tenesaca & Al-Kaisi",2015,"Applied Soil Ecology","89","In-field management of corn cob and residue mix: Effect on soil greenhouse gas emissions","59-68"
303,"10.2134/agronj14.0535","Sindelar, A.J., Coulter, J.A., Lamb, J.A., & Vetsch, J.A.","Sindelar et al.",2015,"Agronomy Journal","107(3)","Nitrogen, stover, and tillage management affect nitrogen use efficiency in continuous corn","843-850"
304,"10.2134/agronj14.0470","Al-Kaisi, M.M., Archontoulis, S.V., Kwaw-Mensah, D., & Miguez, F.","Al-Kaisi et al.",2015,"Agronomy Journal","107(4)","Tillage and crop rotation effects on corn agronomic response and economic return at seven Iowa locations","1411-1424"
305,"10.2136/sssaj2015.01.0039","Pantoja, J.L, Woli, K.P., Sawyer, J.E., Barker, D.W., & Al-Kaisi, M.","Pantoja et al.",2015,"Soil Science Society of America Journal","79(4)","Stover harvest and tillage system effects on corn response to fertilizer nitrogen","1249-1260"
306,"10.1016/j.still.2015.03.005","Villamil, M.B., Little, J., & Nafziger, E.D.","Villamil et al.",2015,"Soil & Tillage Research","151","Corn residue, tillage, and nitrogen rate effects on soil properties","61-66"
307,"10.1016/j.geoderma.2015.04.002","Villamil, M.B. & Nafziger, E.D.","Villamil & Nafziger",2015,"Geoderma","253-254","Corn residue, tillage, and nitrogen rate effects on soil carbon and nutrient stocks in Illinois","61-66"
308,"10.1007/s12155-015-9586-1","Sindelar, A.J., Lamb, J.A., Coulter, J.A., Sheaffer, C.C., & Vetsch, J.A.","Sindelar et al.",2015,"Bioenergy Research","8(3)","Nitrogen and tillage management affect corn cellulosic yield composition, and ethanol potential","1284-1291"
309,"10.2134/agronj15.0085","Sindelar, A.J., Schmer, M.R., Jin, V.L., Wienhold, B.J., & Varvel, G.E.","Sindelar et al.",2015,"Agronomy Journal","107","Long-term corn and soybean response to crop rotation and tillage","2241-2252"
310,"10.1016/j.still.2015.06.015","Negassa, W., Price, R.F., Basir, A., Snapp, S.S., & Kravchenko, A.","Negassa et al.",2015,"Soil & Tillage Research","154","Cover crop and tillage systems effect on soil CO2 and N2O fluxes in contrasting topographic positions","64-74"
311,"10.1016/S0167-1987(97)00041-X","Varsa, E.C., Chong, S.K., Abolaji, D.A., Farquhar, D.A., & Olsen, F.J.","Varsa et al.",1997,"Soil & Tillage Research","43","Effect of deep tillage on soil physical characteristics and corn (Zea mays L.) root growth and production","219-228"
312,"10.1016/j.still.2015.05.006","Kibet, L.C., Blanco-Canqui, H., & Jasa, P.","Kibet et al.",2016,"Soil & Tillage Research","155","Long-term tillage impacts on soil organic carbon components and related properties on a Typic Argiudoll","78-84"
313,"10.2134/agronj2015.0331","Marburger, D.A., Mourtzinis, S., Gaska, J.M., & Conley, S.P.","Marburger et al.",2016,"Agronomy Journal","108","Do crop rotation and tillage influence soybean seed-applied inoculant decisions?","402-406"
314,"10.1016/j.still.2013.09.003","Nakajima, T. & Lal, R.","Nakajima & Lal",2014,"Soil & Tillage Research","135","Tillage and drainage management effect on soil gas diffusivity","71-78"
315,"10.1515/intag-2015-0030","Haruna, S.I. & Nkongolo, N.V.","Haruna & Nkongolo",2015,"International Agrophysics","29","Effects of tillage, rotation and cover crop on the physical properties of a silt-loam soil","137-145"
316,"10.1080/00103624.2016.1194993","Liu, M., Ussiri, D.A.N., & Lal, R.","Liu et al.",2016,"Communications in Soil Science and Plant Analysis","47(12)","Soil organic carbon and nitrogen fractions under different land uses and tillage","1528-1541"
317,"10.2134/agronj2015.0363","Al-Kaisi, M.M., Archontoulis, S., & Kwaw-Mensah, D.","Al-Kaisi et al.",2016,"Agronomy Journal","108","Soybean spatiotemporal yield and economic variability as affected by tillage and crop rotation","14-Jan"
318,"10.1111/gcb.12216","Ruan, L. & Robertson, G.P.","Ruan & Robertson",2013,"Global Change Biology","19","Initial nitrous oxide, carbon dioxide, and methane costs of converting conservation reserve program grassland to row crops under no-till vs. convetional tillage","2478-2489"
319,"10.1614/WT-D-16-00061.1","Farmer, J.A., Bradley, K.W., Young, B.G., Steckel, L.E., Johnson, W.G., Norsworthy, J.K., Davis, V.M., & Loux, M.M.","Farmer et al.",2017,"Weed Technology","31","Influence of tillage method on management of Amaranthus species in soybean","20-Oct"
320,"10.1080/01904167.2016.1264594","Karbo, A., Woodard, H.J., & Bly, A.","Karbo et al.",2017,"Journal of Plant Nutrition","40(8)","Crop production impacts on soil phosphorous removal and soil test levels","1172-1179"
321,"10.2134/agronj2016.09.0507","Lowry, C. & Brainard, D.C.","Lowry & Brainard",2017,"Agronomy Journal","109(3)","Rye-vetch spatial arrangement and tillage: Impacts on soil nitrogen and sweet corn roots","1013-1023"
322,"10.2135/cropsci2016.09.0792","Mourtzinis, S., Marburger, D., Gaska, J., Diallo, T., Lauer, J., Conley, S.","Mourtzinis et al.",2017,"Crop Science","57","Corn and soybean yield response to rillage, rotation, and nematicide seed treatment","9-Jan"
323,"10.1111/gcb.13637","Jin, V.L., Schmer, M.R., Stewart, C.E., Sindelar, A.J., & Varvel, G.E.","Jin et al.",2017,"Global Change Biology","23(7)","Long-term no-till and stover retention each decrease the global warming potential of irrigated continuous corn","2848-2862"
324,"10.2136/sssaj2016.14.0121","Alhameid, A., Ibrahim, M., Kumar, S., Sexton, P., & Schumacher, T.E.","Alhameid et al.",2017,"Soil Science Society of America Journal","81(4)","Soil organic carbon changes impacted by crop rotation diversity under no-till farming in South Dakota, USA","868-877"
325,"10.1016/j.still.2017.03.001","Blanco-Canqui, H., Wienhold, B.J., Jin, V.L., Schmer, M.R., & Leonard, C.K.","Blanco-Canqui et al.",2017,"Soil & Tillage Research","170","Long-term tillage impact on soil hydraulic properties","38-42"
326,"10.2136/sssaj1998.03615995006200060031x","Wander, M.M., Bidart, M.G., & Aref, S.","Wander et al.",1998,"Soil Science Society of America Journal","62","Tillage impacts on depth distribution of total and particulate organic matter in three Illinois Soils","1704-1711"
70,"10.1111/1365-2664.12924","Krupke, C.H., Holland, J.D., Long, E.Y., & Eitzer, B.D","Krupke et al.",2017,"Journal of Applied Ecology","54","Planting of neonicotinoid-treated maize poses risks for honey bees and other non-target organisms over a wide area without consistent crop yield benefit","1449-1458"
71,"10.1002/ps.4602","Krupke, C.H., Alford, A.M., Cullen, E.M., Hodgson, E.W., Knodel, J.J., McCornack, B., Potter, B.D., Spigler, M.I., Tilmon, K., & Welch, K.","Krupke et al.",2017,"Pest Management Science","73","Assessing the value and pest management window provided by neonicotinoid seed treatments for management of soybean aphid (Aphis glycines Matsumura) in the Upper Midwestern United States","2184-2193"
72,"10.1016/j.cropro.2017.03.004","Regan, K., Ordosch, D., Glover, K.D., Tilmon, K.J., & Szczepaniec A.","Regan et al.",2017,"Crop Protection","98","Effects of a pyrethroid and two neonicotinoid insecticides on population dynamics of key pests of soybean and abundance of their natural enemies","24-32"
73,"10.1094/PD-89-0262","Pataky, J.K., Michener, P.M., Freeman, N.D.,  Hawk, J.A., Weldekidan, T., & Teyker, R.H.","Pataky et al.",2005,"Plant Disease","89(3)","Rates of seed treatment insecticides and control of stewart's wilt in sweet corn","262-268"
74,"10.1016/0261-2194(92)90057-C","Oloumi-Sadeghi, H., Levine, E., Steffey, K.L., & Gray, M.E.","Oloumi-Sadeghi et al.",1992,"Crop Protection","11","Black cutworm damage and recovery of corn plants: influence of pyrethroid and organophosphate soil insecticide treatments","323-328"
75,"10.1016/j.cropro.2005.03.013","Bierman, R. E., Riechers, D. E., Sprague, C. L., Bollero, G., & Pedersen W. L.","Bierman et al.",2006,"Crop Protection","25","Fungicide-herbicide interaction in soybean (Glycine max)","134-139"
76,"10.1111/j.1439-0418.2011.01656.x","Tinsley, N. A., Steffey, K. L., Estes, R. E., Heeren, J. R., Gray, M. E., & Diers, B. W.","Tinsley et al.",2012,"Journal of Applied Entomology","136","Field-level effects of preventative management tactics on soybean aphids (Aphis glycines Matsumura) and their predators","361-371"
77,"10.1016/0261-2194(93)90096-2","Hammond, R. B. & Cooper, R. L.,","Hammond & Cooper",1993,"Crop Protection","12(7)","Interaction of planting times following the incorporaiton of a living, green cover crop and control measures on seedcorn maggot populations in soybean","539-543"
78,"10.1017/S0890037X00038793","Morton, C.A., Harvey, R.G., Wedberg, J.L., Kells, J.J., Landis, D.A., & Lueschen, W.E.","Morton et al.",1994,"Weed Technology","8(2)","Influence of corn rootworm insecticides on response of field corn (Zea mays) to Nicosulfuron","289-295"
79,"10.1093/jee/92.4.954","Haile, F.J., Peterson, R.K.D., & Higley, L.G.","Haile et al.",1999,"Journal of Economic Entomology","92(4)","Gas-exchange responses of alfalfa and soybean treated with insecticides","954-959"
80,"10.1093/jee/tov081","Frank, D.L., Kurtz, R., Tinsley, N.A., Gassmann, A.J., Meinke, L.J., Moellenbeck, D., Gray, M.E., Bledsoe, L.W., Krupke, C.H., estes, R.E., Weber, P., & Hibbards, B.E.","Frank et al.",2015,"Journal of Economic Entomology","108(3)","Effect of seed blends and soil-insecticide on Western and Northern Corn Rootworm emergence from mCry3A + eCry3.1Ab Bt maize","1260-1270"
81,"10.2135/cropsci2014.02.0114","Gaspar, A.P., Mitchell, P.D., & Conley, S.P.","Gaspar et al.",2015,"Crop Science","55","Economic risk and profitability of soybean fungicide and insecticide seed treatments at reduced seeding rates","924-933"
82,"10.2135/cropsci2014.03.0200","Gaspar, A.P., & Conley, S.P.","Gaspar & Conley",2015,"Crop Science","55","Responses of canopy reflectance, light interception, and soybean seed yield to replanting suboptimal stands","377-385"
83,"10.2134/agronj14.0277","Gaspar, A.P., Marburger, D.A., Mourtzinis, S., & Conley, S.","Gaspar et al.",2014,"Agronomy Journal","106","Soybean seed yield response to multiple seed treatment components across diverse environments","1955-1962"
84,"10.1603/EC14047","McCarville, M.T., O'Neal, M.E., Potter, B.D., Tilmon, K.J., Cullen, E.M., McCornack, B.P., Tooker, J.F., & Prischmann-Voldseth, D.A.","McCarville et al.",2014,"Journal of Economic Entomology","107(4)","One gene versus two: A regional study on the efficacy of single gene versus pyramided resistance for soybean aphid management","1680-1687"
85,"10.1111/j.1439-0418.2012.01716.x","Obopile, M., Hammond, R.B., & Thomison, P.R.","Obopile et al.",2013,"Journal of Applied Entomology","137","Interaction among planting dates, transgenic maize, seed treatment, corn rootworm damage and grain yield","45-55"
86,"10.2135/cropsci2011.06.0311","Esker, P.D., & Conley, S.P.","Esker & Conley",2012,"Crop Science","52","Probability of yield response and breaking even for soybean seed treatments","351-359"
87,"10.1007/s10658-009-9545-9","Rodriguez-Brljevich, C., Kanobe, C., Shanahan, J.F., & Robertson, A.E.","Rodriguez-Brljevich et al.",2010,"European Journal of Plant Pathology","126","Seed treatments enhance photosynthesis in maize seedlings by reducing infection with Fusarium spp. and consequent disease development in maize","343-347"
88,"10.1603/029.102.0613","Johnson, K.D., O'Neal, M.E., Ragsdale, D.W., Difon, C.D., Swinton, S.M., Dixon, P.M., Potter, B.D., Hodgson, E.W., & Costamagna, A.C.","Johnson et al.",2009,"Journal of Economic Entomology","102(6)","Probability of cost-effective management of soybean aphid (Hemiptera: Aphididae) in North America","2101-2108"
89,"10.1603/029.102.0127","Magalhaes, L.C., Hunt, T.E., & Siegfried, B.D.","Magalhaes et al.",2009,"Journal of Economic Entomology","102(1)","Efficacy of neonicotinoid seed treatments to reduce soybean aphid populations under field and controlled conditions in Nebraska","187-195"
90,"10.2134/agronj2007.0142","Murillo-Williams, A., & Pedersen, P.","Murillo-Williams & Pedersen",2008,"Agronomy Journal","100(3)","Arbuscular mycorrhizal colonization response to three seed-applied fungicides","795-800"
91,"10.1094/ PDIS-92-1-0120","Bradley, C.A.","Bradley",2008,"Plant Disease","92","Effect of fungicide seed treatments on stand establishment, seedling disease, and yield of soybean in North Dakota","120-125"
92,"10.1023/B:PLSO.0000016561.58742.93","Wang, D., Kurle, J.E., Estevex de Jensen, C., & Percich, J.A.","Wang et al.",2004,"Pland and Soil","258","Radiometric assessment of tillage and seed treatment effect on soybean root rot caused by Fusarium spp. in central Minnesota","319-331"
93,"Unavailable","Bradshaw, J.D., Rice, M.E., & Hill J. H.","Bradshaw et al.",2003,"Crop Science & Technology Congress Proceedings","1","Efficacy of pyrethroid and systemic neonicotinoid to manage an insect and pathogen complex","53-60"
94,"10.1094/PD-78-0817","Baird, R.E., Nankam, C., Fallah Moghaddam, P., & Pataky, J.K","Baird et al.",1994,"Plant Disease","78","Evaluation of seed treatments on Shrunken-2 sweet corn","817-821"
95,"10.1093/jee/101.4.1211","Bradshaw, J.D., Rice, M.E., & Hill, J.H.","Bradshaw et al.",2008,"Journal of Economic Entomology","101(4)","Evaluation of management strategies for bean leaf beetles (Coleoptera: Chrysomelidae) and Bean pod mottle virus (Comoviridae) in soybean","1211-1227"
96,"10.1094/ PDIS-93-9-0875","Dorrance, A. E., Robertson, A. E., Cianzo, S., Giesler, L. J., Grau, C. R., Draper, M. A., Tenuta, A. U., & Anderson, T. R.","Dorrance et al.",2009,"Plant Disease","93","Integrated management strategies for Phytophthora sojae combining host resistance and seed treatments","875-882"
1,"10.1097/SS.0b013e3181cf7959","Olson, K.R., Ebelhar, S.A. & Lang, J.M.","Olson et al.",2010,"Soil Science","175(2)","Cover crop diversity synthesis","89-98"
2,"10.1016/j.agwat.2012.03.010","Kaspar, T.C., Jaynes, D.B., Parkin, T.B., Moorman, T.B. & Singer, J.W.","Kaspar et al.",2012,"Agricultural Water Management","110","Effectiveness of oat and rye cover crops in reducing nitrate losses in drainage water","25-33"
3,"10.4137/ASWR.S30708","Grebliunas, B.D., Armstrong, S.D. & Perry W.L.","Grebliunas et al.",2016,"Air, Soil and Water Research","9","Changes in water-extractable organic carbon with cover crop planting under continuous corn silage production","45-54"
4,"10.1016/j.agee.2015.10.014","Welch, R.Y., Behnke, G.D., Davis, A.S., Masiunas, J. & Villamil, M.B.","Welch et al.",2016,"Agriculture, Ecosystems and Environment","216","Using cover crops in headlands of organic grain farms: Effects on soil properties, weeds and crop yields","322-332"
5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495"
6,"10.1017/S0890037X00027834","Johnson, G.A., Defelice, M.S. & Helsel, Z.R.","Johnson et al.",1993,"Weed Technology","7(2)","Cover crop management and weed control in Corn (Zea mays)","425-430"
7,"10.1016/j.agee.2009.05.008","Jarecki, M.K., Parkin, T.B., Chan, A.S.L., Kaspar, T.C., Moorman, T.B., Singer, J.W., Kerr, B.J., Hatfield, J.L. & Jones, R.","Jarecki et al.",2009,"Agriculture, Ecosystems and Environment","134","Cover crop effects on nitrous oxide emission from a manure-treated Mollisol","29-35"
8,"10.1614/WS-D-11-00192.1","Mock, V.A., Creech, J.E., Ferris, V.R., Faghihi, J., Westphal, A., Santini, J.B. & Johnson, W.G.","Mock et al.",2012,"Weed Science","60","Influence of winter annual weed management and crop rotation on soybean cyst nematode (Heterodera glycines) and winter annual weeds: Years four and five","634-640"
9,"http://www.jstor.org/stable/25085273","Hammond, R. B.","Hammond",1991,"Journal of the Kansas Entomological Society","64(2)","Seedcorn maggot (Diptera: Anthomyiidae) populations on Ohio Soybean","216-220"
10,"Unavailable","Johnson, T.J., Kaspar, T.C., Kohler, K.A., Corak, S.J., & Logsdon, S.D.","Johnson et al.",1998,"Journal of Soil and Water Conservation","53(3)","Oat and rye overseeded into soybean as fall cover crops in the upper Midwest","276-279"
11,"Unavailable","Williams, M.M. II, Mortensen, D.A., & Doran, J.W.","Williams et al.",2000,"Journal of Soil and Water Conservation","55(1)","No-tillage soybean performance in cover crops for weed management in western Corn Belt","79-84"
12,"10.2134/jeq2000.00472425002900010037x","Rasse, D.P., Ritchie, J.T., Peterson, W.R., Wei, J., & Smucker, A.J.M.","Rasse et al.",2000,"Journal of Environmental Quality","29(1)","Rye cover crop and nitrogen fertilization effects on nitrate leaching in inbred maize fields","298-304"
13,"Unavailable","Kaspar, T.C., Radke, J.K, & Laflen, J.M.","Kaspar et al.",2001,"Journal of Soil and Water Conservation","56(2)","Small grain cover crops and wheel traffic effects on infiltration, runoff, and erosion","160-164"
14,"10.2134/jeq2004.1010","Strock, J.S., Porter, P.M., & Russelle, M.P.","Strock et al.",2004,"Journal of Environmental Quality","33(3)","Cover cropping to reduce nitrate loss through subsurface drainage in the Northern U.S. Corn Belt","1010-116"
15,"10.1007/s10705-010-9345-9","Cambardella, C.A., Moorman, T.B., & Singer, J.W.","Cambardella et al.",2010,"Nutrient Cycling in Agroecosystems","87","Soil nitrogen response to coupling cover crops with manure injection","383-393"
16,"10.1603/EN10041","Lundgren, J.G, & Fergen, J.K","Lundgren & Fergen",2010,"Environmental Entomology","39(6)","The effects of a winter cover crop on Diabrotica virgifera (Coleoptera: Chrysomelidae) populations and beneficial arthropod communities in no-till maize","1816-1828"
17,"10.1016/j.agwat.2010.11.004","Qi, Z., Helmers, M.J., Kaleita, A.L.","Qi et al.",2010,"Agricultural Water Management","98","Soil water dynamics under various agricultural land covers on a subsurface drained field in north-central Iowa, USA","665-674"
18,"10.2134/jeq2011.0151","Qi, Z., Helmers, M.J., Christianson, R.D., & Pederson, C.H.","Qi et al.",2011,"Journal of Environmental Quality","40","Nitrate-nitrogen losses through subsurface drainage under various agricultural land covers","1578-1585"
19,"10.1603/EN11168","Koch, R.L., Porter, P.M., Harbur, M.M., Abrahamson, M.D., Wyckhuys, K.A.G., Ragsdale, D.W., Buchman, K., Sexen, Z., & Heimpel, G.E.","Koch et al.",2012,"Environmental Entomology","41(4)","Response of soybean insects to an autumn-seeded rye cover crop","750-760"
20,"10.2136/sssaj2013.02.0074","Mitchell, D.C., Castellano, M.J., Sawyer, J.E, & Pantoja, J.","Mitchell et al.",2013,"Soil Science Society of America Journal","77","Cover crop effects on nitrous oxide emission: Role of mineralizable carbon","1765-1773"
21,"10.2489/jswc.68.6.438","Krueger, E.S., Baker, J.M., Ochsner, T.E., Wente, C.D., Feyereisen, G.W. & Reicosky, D.C.","Krueger et al.",2013,"Journal of Soil and Water Conservation","68(6)","On-farm environmental assessment of corn silage production systems receiving liquid dairy manure","438-449"
22,"10.1080/21683565.2014.901275","Silva, E.M.","Silva",2014,"Agroecology and Sustainable Food Systems","38","Screening five fall-sown cover crops for use in organic no-till crop production in the upper Midwest","748-763"
23,"10.2489/jswc.69.6.564","Daigh, E.L., Helmers, M.J., Kladivko, E., Zhou, X., Goeken, R., Cavdini, J., Barker, D., & Sawyer, J.","Daigh et al.",2014,"Journal of Soil and Water Conservation","69(6)","Soil water during the drought of 2012 as affected by rye cover crops in fields in Iowa and Indiana","564-573"
24,"10.1007/s12665-014-3353-z","de Paul Obade, V. & Lal, R.","de Paul Obade & Lal",2014,"Journal of Environmental Earth Sciences","72","Soil quality evaluation under different land management practices","4531-4549"
25,"10.1111/gcbb.12096","Jarchow, M.E., Liebman, M., Dhungel, S., Dietzel, R., Sundberg, D., Anex, R.P., Thompson, M.L., & Chua, T.","Jarchow et al.",2015,"Global Change Biology Bioenergy","7","Trade-offs among agronomic, energetic, and environmental performance characteristics of corn and prairie bioenergy cropping systems","57-71"
26,"10.2134/agronj2009.0144","Stefani Fa<e9>, G., Sulc, R.M., Barker, D.J., Dick, R.P., Eastridge, M.L., & Lorenz, N.","Stefani Fae et al.",2009,"Agronomy Journal","101","Integrating winter annual forages into a no-till corn silage system","1286-1296"
27,"10.1515/intag-2015-0030","Haruna, S.I., & Nkongolo, N.V.","Haruna & Nkongolo",2015,"International Agrophysics","29","Effects of tillage, rotation and cover crop on the physical properties of a silt-loam soil","137-145"
