"","Review_id","main_group","group_metric","Legend_1","Legend_2","Legend_3","mean_per_change","sem_per_change","num_papers","num_comparisons","Group_RV","Review","mean_abundance_change","sem_abundance_change","num_papers_abund","num_comparisons_abund"
"1","Cover crop","Invertebrates","Corn Rootworm (#)","Monoculture","Legume, NonLegume","Specific Cover crops used",-18.2656421264158,12.8077684590195,1,8,"Pest Regulation","Cover Crops",-2.75,2.7304499890782,1,8
"2","Cover crop","Invertebrates","Corn Rootworm (Damage to Crop)","Monoculture","Legume, NonLegume","Specific Cover crops used",-27.6515151515151,10.9848484848484,1,2,"Pest Regulation","Cover Crops",NA,NA,NA,NA
"3","Cover crop","Invertebrates","Non-predators & Non-pests","Monoculture","Legume, NonLegume","Specific Cover crops used",3.27621009703358,6.71707024329611,1,36,"Pest Regulation","Cover Crops",NA,NA,NA,NA
"4","Cover crop","Invertebrates","Predator Activity","Mixture (2 Spp.)","Legume, NonLegume","Specific Cover crops used",0,0,1,2,"Pest Regulation","Cover Crops",NA,NA,NA,NA
"5","Cover crop","Invertebrates","Predator community inhabiting foliage (#)","Mixture (2 Spp.)","Legume, NonLegume","Specific Cover crops used",40.2777777777778,8.8206291126193,1,4,"Pest Regulation","Cover Crops",0.525,0.274241377865072,1,4
"6","Cover crop","Invertebrates","Predator community inhabiting foliage (#)","Monoculture","Legume, NonLegume","Specific Cover crops used",-42.2988424203493,24.0121487353326,1,5,"Pest Regulation","Cover Crops",-78.24,52.3637240845225,1,5
"7","Cover crop","Invertebrates","Predator community inhabiting soils (#)","Monoculture","Legume, NonLegume","Specific Cover crops used",2.16326625060393,2.69389312517945,2,10,"Pest Regulation","Cover Crops",0.77,0.554536843781467,2,10
"8","Cover crop","Invertebrates","Predator community inhabiting soils (Diversity)","Monoculture","Legume, NonLegume","Specific Cover crops used",3.68493598472536,1.06937212213719,1,8,"Pest Regulation","Cover Crops",NA,NA,NA,NA
"9","Cover crop","Invertebrates","Predators (#)","Monoculture","Legume, NonLegume","Specific Cover crops used",21.5870614714123,6.21850441223584,1,24,"Pest Regulation","Cover Crops",0.11875,0.0345221652174997,1,24
"10","Cover crop","Invertebrates","Seedcorn Maggot (#)","Monoculture","Legume, NonLegume","Specific Cover crops used",127.147950089127,78.9126559714795,1,2,"Pest Regulation","Cover Crops",10.8,3.35589034385809,1,5
